event_id,event_name,event_type,category,mode,location,start_date,end_date,start_time,end_time,registration_fee_inr,is_free,organizer,required_skills,target_audience,difficulty,status_as_of_2026_09_01,description_short
EVT020,தீர்வு’ATHON,Business Plan Competition,Cultural & Entertainment,Offline,Coimbatore,2026-09-09,2026-09-09,,,900.0,False,PSGCAS CIIE / IIC / E-Cell,AI/ML;Cloud;Cybersecurity;FinTech;Healthcare;Sustainability,Students;Entrepreneurs,Intermediate,Upcoming,National business plan pitching competition
EVT021,NEXERGY’26,Technical Expo,Academic & Professional,Offline,Coimbatore,2026-09-02,2026-09-02,,,150.0,False,IEEE KPRIET Power & Energy Society SBC,Project Presentation;Paper Presentation;Power & Energy,Engineering Students,Intermediate,Upcoming,Technical expo and competitions
EVT022,COREXATHON 2026,Hackathon,Academic & Professional,Offline,Coimbatore,2026-09-01,2026-09-05,,,,,Organizer listed on ACE,Programming;Innovation;Problem Solving;Teamwork,Developers;Designers;Students,Intermediate,Ongoing,24-hour inter-college hackathon
EVT023,WSPIIDS-2026,Workshop,Academic & Professional,Offline,Chengalpattu,2026-09-10,2026-09-11,,,750.0,False,Workshop Organizer,AI;Machine Learning;Cybersecurity;IoT;Probability,Researchers;Professionals;Students,Advanced,Upcoming,Research workshop on stochastic processes
EVT024,Hackspora'25,Hackathon,Academic & Professional,Offline,Coimbatore,2026-09-12,2026-09-12,,,1000.0,False,Organizer listed on ACE,Programming;Innovation;Problem Solving,College Students,Intermediate,Upcoming,Hackathon
EVT025,5-Day Online STTP on Building Autonomous AI Systems with Agentic AI,Training,Academic & Professional,Online,Online,2026-09-01,2026-09-05,,,250.0,False,Event Organizer,Agentic AI;AI Systems;Research;Automation,Students;Researchers;Professionals,Advanced,Ongoing,Short-term training programme
EVT026,International Conference on AI in Construction & Sustainable Built Environment,Conference,Academic & Professional,Hybrid,Madurai,2026-12-17,2026-12-17,,,50.0,False,Event Organizer,AI;Construction;Sustainability,Researchers;Students;Industry,Advanced,Upcoming,AI and sustainable built environment conference
EVT027,"Emerging Trends in Intelligent Embedded Systems: AI, IoT & Cybersecurity",Conference,Academic & Professional,Online,Online,2026-07-29,2026-07-29,,,0.0,True,ECLearnix Masterclass,AI;IoT;Embedded Systems;Cybersecurity,Students;Researchers;Professionals,Intermediate,Completed,Online technical session
EVT028,Effective Publishing Strategies: AI Tools and Techniques for Enhancing Research Impact,Masterclass,Academic & Professional,Online,Online,2026-07-28,2026-07-28,,,0.0,True,ECLearnix Masterclass,AI Tools;Academic Writing;Research,Students;Researchers;Faculty,Intermediate,Completed,Research publishing masterclass
EVT029,Transformative Education: Integrating AI Tools with Outcome-Based Learning,Masterclass,Academic & Professional,Online,Online,2026-07-29,2026-07-29,,,0.0,True,ECLearnix Masterclass,AI;Education;Outcome-Based Learning,Students;Faculty;Educators,Intermediate,Completed,AI in education masterclass
EVT030,"Research Writing, Funding Proposal Development, and Patent Drafting",Masterclass,Academic & Professional,Online,Online,2026-07-29,2026-12-30,,,0.0,True,ECLearnix Masterclass,Research Writing;Funding;Patents,Students;Researchers;Faculty,Advanced,Ongoing,Research and innovation masterclass
